Id,ActivityDay,StepTotal
1503960366,2016-04-12,13162
1624580081,2016-04-12,8163
1644430081,2016-04-12,10694
1844505072,2016-04-12,6697
1927972279,2016-04-12,678
2022484408,2016-04-12,11875
2026352035,2016-04-12,4414
2320127002,2016-04-12,10725
2347167796,2016-04-12,10113
2873212765,2016-04-12,8796
3372868164,2016-04-12,4747
3977333714,2016-04-12,8856
4020332650,2016-04-12,8539
4057192912,2016-04-12,5394
4319703577,2016-04-12,7753
4388161847,2016-04-12,10122
4445114986,2016-04-12,3276
4558609924,2016-04-12,5135
4702921684,2016-04-12,7213
5553957443,2016-04-12,11596
5577150313,2016-04-12,8135
6290855005,2016-04-12,4562
6962181067,2016-04-12,10199
7007744171,2016-04-12,14172
7086361926,2016-04-12,11317
8053475328,2016-04-12,18060
8253242879,2016-04-12,9033
8378563200,2016-04-12,7626
8583815059,2016-04-12,5014
8792009665,2016-04-12,2564
8877689391,2016-04-12,23186
1503960366,2016-04-13,10735
1624580081,2016-04-13,7007
1644430081,2016-04-13,8001
1844505072,2016-04-13,4929
1927972279,2016-04-13,356
2022484408,2016-04-13,12024
2026352035,2016-04-13,4993
2320127002,2016-04-13,7275
2347167796,2016-04-13,10352
2873212765,2016-04-13,7618
3372868164,2016-04-13,9715
3977333714,2016-04-13,10035
4057192912,2016-04-13,5974
4319703577,2016-04-13,8204
4388161847,2016-04-13,10993
4445114986,2016-04-13,2961
4558609924,2016-04-13,4978
4702921684,2016-04-13,6877
5553957443,2016-04-13,4832
5577150313,2016-04-13,5077
6290855005,2016-04-13,7142
6775888955,2016-04-13,4053
6962181067,2016-04-13,5652
7007744171,2016-04-13,12862
7086361926,2016-04-13,5813
8053475328,2016-04-13,16433
8253242879,2016-04-13,8053
8378563200,2016-04-13,12386
8583815059,2016-04-13,5571
8792009665,2016-04-13,1320
8877689391,2016-04-13,15337
1503960366,2016-04-14,10460
1624580081,2016-04-14,9107
1644430081,2016-04-14,11037
1844505072,2016-04-14,7937
1927972279,2016-04-14,2163
2022484408,2016-04-14,10690
2026352035,2016-04-14,3335
2320127002,2016-04-14,3973
2347167796,2016-04-14,10129
2873212765,2016-04-14,7910
3372868164,2016-04-14,8844
3977333714,2016-04-14,7641
4020332650,2016-04-14,108
4319703577,2016-04-14,10210
4388161847,2016-04-14,8863
4445114986,2016-04-14,3974
4558609924,2016-04-14,6799
4702921684,2016-04-14,7860
5553957443,2016-04-14,17022
5577150313,2016-04-14,8596
6290855005,2016-04-14,7671
6775888955,2016-04-14,5162
6962181067,2016-04-14,1551
7007744171,2016-04-14,11179
7086361926,2016-04-14,9123
8053475328,2016-04-14,20159
8253242879,2016-04-14,5234
8378563200,2016-04-14,13318
8583815059,2016-04-14,3135
8792009665,2016-04-14,1219
8877689391,2016-04-14,21129
1503960366,2016-04-15,9762
1624580081,2016-04-15,1510
1644430081,2016-04-15,5263
1844505072,2016-04-15,3844
1927972279,2016-04-15,980
2022484408,2016-04-15,11034
2026352035,2016-04-15,3821
2320127002,2016-04-15,5205
2347167796,2016-04-15,10465
2873212765,2016-04-15,8482
3372868164,2016-04-15,7451
3977333714,2016-04-15,9010
4020332650,2016-04-15,1882
4057192912,2016-04-15,3984
4319703577,2016-04-15,5664
4388161847,2016-04-15,8758
4445114986,2016-04-15,7198
4558609924,2016-04-15,7795
4702921684,2016-04-15,6506
5553957443,2016-04-15,16556
5577150313,2016-04-15,12087
6117666160,2016-04-15,14019
6290855005,2016-04-15,9501
6775888955,2016-04-15,1282
6962181067,2016-04-15,5563
7007744171,2016-04-15,5273
7086361926,2016-04-15,8585
8053475328,2016-04-15,20669
8253242879,2016-04-15,2672
8378563200,2016-04-15,14461
8583815059,2016-04-15,3430
8792009665,2016-04-15,2483
8877689391,2016-04-15,13422
1503960366,2016-04-16,12669
1624580081,2016-04-16,5370
1644430081,2016-04-16,15300
1844505072,2016-04-16,3414
2022484408,2016-04-16,10100
2026352035,2016-04-16,2547
2320127002,2016-04-16,5057
2347167796,2016-04-16,22244
2873212765,2016-04-16,9685
3372868164,2016-04-16,6905
3977333714,2016-04-16,13459
4020332650,2016-04-16,1982
4319703577,2016-04-16,4744
4388161847,2016-04-16,6580
4445114986,2016-04-16,3945
4558609924,2016-04-16,7289
4702921684,2016-04-16,11140
5553957443,2016-04-16,5771
5577150313,2016-04-16,14269
6117666160,2016-04-16,14450
6290855005,2016-04-16,8301
6775888955,2016-04-16,4732
6962181067,2016-04-16,13217
7007744171,2016-04-16,4631
7086361926,2016-04-16,31
8053475328,2016-04-16,14549
8253242879,2016-04-16,9256
8378563200,2016-04-16,11207
8583815059,2016-04-16,5319
8792009665,2016-04-16,244
8877689391,2016-04-16,29326
1503960366,2016-04-17,9705
1624580081,2016-04-17,6175
1644430081,2016-04-17,8757
1844505072,2016-04-17,4525
2022484408,2016-04-17,15112
2026352035,2016-04-17,838
2320127002,2016-04-17,6198
2347167796,2016-04-17,5472
2873212765,2016-04-17,2524
3372868164,2016-04-17,8199
3977333714,2016-04-17,10415
4020332650,2016-04-17,16
4319703577,2016-04-17,29
4388161847,2016-04-17,4660
4445114986,2016-04-17,2268
4558609924,2016-04-17,9634
4702921684,2016-04-17,12692
5553957443,2016-04-17,655
5577150313,2016-04-17,12231
6117666160,2016-04-17,7150
6290855005,2016-04-17,7851
6775888955,2016-04-17,2497
6962181067,2016-04-17,10145
7007744171,2016-04-17,8059
8053475328,2016-04-17,18827
8253242879,2016-04-17,10204
8378563200,2016-04-17,2132
8583815059,2016-04-17,3008
8877689391,2016-04-17,15118
